model,feature,importance_type,importance
ridge_margin,opponent_games_played,coefficient,2.6431970267877594
ridge_margin,recent_result_volatility,coefficient,2.6393143291294447
ridge_margin,rolling_margin_std_last_5,coefficient,2.6393143291294403
ridge_margin,games_played,coefficient,-2.5430662052248976
ridge_margin,elo_trend,coefficient,2.5350928281789185
ridge_margin,elo_trend,permutation_mae_increase,2.301215803734938
ridge_margin,rolling_margin_std_last_3,coefficient,-2.033757173551832
ridge_margin,rolling_margin_last_3,coefficient,1.7069372853223854
ridge_margin,defensive_trend,coefficient,-1.5721954791561563
ridge_margin,rolling_margin_last_5,coefficient,1.441045766061986
logistic_win_probability,games_played,coefficient,-1.012964815904224
logistic_win_probability,elo_trend,coefficient,0.897380984471609
logistic_win_probability,opponent_games_played,coefficient,0.6235272720156398
logistic_win_probability,pregame_away_elo,coefficient,-0.5161974177093932
logistic_win_probability,strength_gap_absolute,coefficient,-0.5159104584916658
logistic_win_probability,predicted_win_probability,coefficient,0.5133852785083103
logistic_win_probability,rating_stability,coefficient,-0.47033296936603697
logistic_win_probability,offense_vs_opponent_defense_gap,coefficient,0.41342083510528926
logistic_win_probability,recent_opponent_avg_power,coefficient,0.3983604495712286
logistic_win_probability,power_v3_recency_home_probability,coefficient,0.3931482271436898
random_forest_win_probability,power_v3_calibrated_home_probability,random_forest_impurity,0.1033547181083212
random_forest_win_probability,rolling_margin_last_5,random_forest_impurity,0.09888051773950526
random_forest_win_probability,power_v3_recency_home_probability,random_forest_impurity,0.09252789994954029
random_forest_win_probability,elo_diff_home,random_forest_impurity,0.08235883639840452
random_forest_win_probability,rolling_margin_last_3,random_forest_impurity,0.053685049936142024
random_forest_win_probability,elo_trend,random_forest_impurity,0.05291539867664408
random_forest_win_probability,elo_home_probability,random_forest_impurity,0.051560456386697553
random_forest_win_probability,pregame_away_elo,random_forest_impurity,0.04261443177144268
random_forest_win_probability,offense_defense_ratio,random_forest_impurity,0.041251579377916646
random_forest_win_probability,pregame_home_elo,random_forest_impurity,0.03188379400114971
